,Player_Pos_X,Player_Pos_Y,Player_Pos_Z
1335,222,6,252
1336,223,7,252
1337,224,7,251
1338,225,7,251
1339,227,7,250
1340,228,7,250
1341,229,7,250
1342,230,7,249
1364,231,7,249
1365,232,7,249
1369,233,8,249
1370,234,8,249
1371,235,8,249
1372,236,8,249
1373,238,8,249
1374,239,8,249
1375,241,7,249
1376,244,7,250
1377,245,7,250
1379,246,7,250
1380,247,7,250
1381,248,6,250
1382,250,6,250
1383,251,6,249
1384,253,6,249
1391,254,6,249
1396,255,5,249
1405,256,5,249
1417,257,5,249
1419,258,5,249
1421,259,4,249
1422,261,4,249
1423,262,4,249
1424,263,4,249
1434,264,4,249
1435,265,4,249
1436,266,5,249
1443,267,5,249
1445,268,6,249
1446,269,6,249
1447,271,7,249
1448,272,7,249
1449,274,7,249
1450,276,8,249
1451,278,8,249
1452,279,8,249
1453,280,8,249
1457,281,8,249
1458,282,8,249
1459,283,8,249
1460,284,8,249
1461,285,8,249
1462,287,8,249
1463,289,8,249
1464,291,8,249
1465,292,7,249
1466,293,7,249
1468,294,7,249
1485,294,8,248
1486,294,8,247
1487,294,8,246
1488,294,8,245
1489,295,8,243
1490,295,8,241
1491,295,8,240
1492,295,8,239
1505,294,8,239
1514,294,8,240
1515,293,8,240
1516,292,8,240
1517,291,8,240
1518,290,8,240
1520,289,8,240
1522,287,8,240
1523,286,8,240
1524,285,8,240
1525,283,8,241
1526,281,8,241
1527,279,8,241
1528,277,8,241
1529,276,8,241
1530,274,8,242
1531,273,8,242
1532,271,7,242
1533,268,7,242
1534,266,6,243
1535,263,6,243
1536,259,4,243
1537,257,3,244
1538,254,2,244
1539,253,2,244
1540,251,2,244
1546,251,2,245
1560,250,2,245
1564,250,2,244
1567,252,2,245
1568,252,3,246
1569,253,3,246
1570,253,4,247
1596,253,2,245
1598,252,1,244
1599,252,1,243
1606,252,2,242
1608,251,1,242
1612,251,1,241
1618,250,2,241
1619,250,2,240
1632,251,2,240
1638,252,2,240
1640,253,3,240
1647,254,3,240
1654,255,4,240
1656,256,5,240
1657,257,5,240
1658,258,6,240
1659,259,6,240
1664,260,6,240
1668,261,6,240
1669,262,6,240
1674,263,7,240
1675,264,7,240
1676,265,7,240
1677,266,7,240
1678,268,7,240
1679,269,7,240
1680,272,8,240
1681,274,8,240
1682,276,8,239
1683,279,8,239
1684,281,8,239
1685,283,8,239
1686,285,8,239
1687,288,8,239
1688,290,8,239
1691,298,8,240
1692,299,8,240
1709,299,8,239
1710,298,8,239
1711,298,8,238
1712,297,8,237
1713,296,8,237
1714,295,7,235
1715,294,7,234
1716,293,7,233
1717,292,7,232
1731,291,7,232
1739,290,7,232
1746,289,7,232
1748,288,7,233
1749,287,7,233
1750,285,7,233
1751,284,7,233
1752,282,7,233
1753,280,7,233
1754,277,8,233
1755,275,8,233
1756,272,8,233
1757,269,8,233
1758,266,8,233
1759,263,7,234
1760,261,7,234
1761,260,7,234
1762,258,7,234
1763,257,7,234
1770,256,7,234
1779,255,6,234
1788,254,6,234
1790,253,6,234
1791,252,6,234
1792,251,6,234
1793,249,5,235
1794,247,5,235
1809,247,6,234
1811,247,6,233
1812,248,6,233
1816,248,7,232
1818,249,7,231
1819,249,8,230
1850,250,8,230
1852,251,8,230
1853,253,8,230
1854,254,8,230
1855,256,8,230
1856,257,8,230
1857,258,8,230
1858,259,8,230
1859,260,8,230
1860,261,8,230
1861,263,8,230
1863,264,8,230
1865,265,8,230
1866,266,8,230
1867,268,8,230
1868,269,8,230
1869,271,8,230
1870,273,8,230
1871,275,8,230
1872,278,7,230
1873,281,7,230
1874,284,7,230
1875,287,7,230
1876,291,7,229
1877,294,7,229
1878,296,7,229
1899,295,7,228
1900,295,7,227
1901,295,7,226
1902,295,7,225
1903,294,7,224
1927,293,6,224
1928,292,6,224
1929,291,6,224
1930,290,6,224
1931,289,6,224
1932,287,6,224
1933,285,6,224
1934,283,6,224
1935,282,7,224
1936,278,7,224
1937,276,8,224
1938,273,8,224
1939,269,9,224
1940,266,9,224
1941,263,9,224
1942,261,9,224
1944,260,9,224
1946,258,9,224
1947,257,9,224
1951,256,9,224
1963,255,9,224
1973,254,9,224
1975,252,9,224
1976,251,9,224
1977,250,9,224
1978,249,9,224
2002,249,9,223
2003,249,10,222
2004,249,10,221
2005,249,10,220
2006,250,10,219
2020,251,10,219
2022,252,10,219
2023,253,10,219
2024,254,9,219
2025,255,9,219
2026,256,9,219
2027,257,9,219
2037,258,9,219
2038,259,9,219
2039,260,9,219
2040,261,9,219
2041,262,10,219
2042,263,10,219
2043,264,10,219
2044,265,10,219
2045,266,10,219
2046,267,10,219
2052,268,10,219
2055,269,10,219
2056,270,10,219
2060,271,10,219
2062,273,9,219
2063,274,9,219
2064,275,9,219
2065,277,8,219
2066,278,8,219
2067,279,8,219
2068,281,7,219
2069,282,7,219
2070,284,7,219
2071,285,6,219
2072,287,6,219
2073,288,6,219
2078,289,6,219
2080,290,6,219
2082,292,6,219
2083,293,6,220
2087,294,6,220
2107,294,6,219
2110,294,7,218
2111,294,7,217
2112,294,7,216
2113,294,7,215
2114,295,7,213
2139,294,7,213
2141,293,7,213
2145,292,7,213
2155,291,7,213
2156,290,7,213
2158,288,7,213
2159,287,7,213
2160,285,7,214
2161,283,7,214
2162,281,8,214
2163,279,8,214
2164,278,9,214
2169,277,9,214
2171,276,9,214
2172,275,9,214
2214,275,9,213
2216,275,10,212
2217,275,10,210
2218,274,10,209
2219,274,10,208
2220,274,10,207
2243,275,10,207
2245,276,10,207
2246,277,10,207
2247,278,9,207
2248,279,9,207
2249,281,9,207
2250,283,8,208
2251,284,8,208
2252,287,8,208
2253,289,8,209
2254,292,7,209
2255,295,7,210
2256,296,7,210
2276,296,8,209
2278,296,8,208
2279,295,8,207
2282,295,8,206
2283,295,8,205
2285,294,8,204
2329,293,8,204
2334,292,8,204
2347,291,8,204
2349,290,8,204
2350,289,8,204
2351,287,8,204
2352,286,8,204
2353,284,9,204
2354,282,9,204
2355,281,9,204
2356,280,9,204
2357,278,10,204
2358,277,10,204
2359,275,10,204
2360,274,10,205
2371,274,10,204
2374,274,10,203
2375,274,10,202
2376,274,10,201
2377,274,10,200
2378,275,10,198
2407,276,10,198
2424,277,10,198
2428,278,10,198
2430,279,10,198
2431,280,10,198
2432,281,9,199
2433,283,9,199
2434,285,9,199
2435,287,8,199
2436,289,8,199
2437,291,8,199
2438,295,8,200
2439,296,8,200
2464,296,8,199
2468,296,8,198
2470,295,8,197
2482,295,8,196
2484,295,8,195
2498,294,8,195
2500,293,8,195
2501,292,8,195
2502,291,8,195
2503,290,8,195
2504,288,8,195
2505,287,8,195
2506,285,9,195
2507,282,9,195
2508,280,10,195
2509,277,10,195
2510,275,11,195
2511,272,10,194
2512,271,10,194
2540,272,11,193
2549,273,11,193
2555,273,11,192
2557,273,11,191
2558,274,11,190
2559,274,11,189
2569,275,11,189
2573,276,11,189
2575,277,11,189
2576,279,10,189
2577,280,10,189
2578,281,10,189
2586,282,9,189
2588,283,9,189
2589,284,9,189
2590,285,9,189
2591,287,8,189
2592,288,8,189
2593,290,8,189
2594,292,8,189
2595,295,8,189
2596,296,8,189
2622,295,8,188
2623,295,8,187
2624,295,8,186
2628,295,8,185
2630,294,8,185
2650,293,8,185
2651,292,8,185
2653,290,8,184
2654,289,8,184
2655,287,8,184
2656,285,9,184
2657,283,9,184
2658,280,10,184
2659,277,11,184
2660,275,11,184
2662,274,11,184
2682,274,11,183
2683,274,12,182
2684,274,12,181
2685,274,12,180
2686,275,12,179
2703,276,12,179
2710,277,11,179
2712,278,11,179
2715,279,11,179
2717,280,10,179
2718,282,10,179
2719,283,10,179
2720,285,9,179
2721,286,9,179
2722,288,8,179
2723,291,8,179
2724,292,8,179
2725,293,8,180
2729,294,8,180
2751,294,8,179
2754,294,8,178
2755,294,8,177
2756,294,8,176
2757,294,8,175
2758,295,8,173
2759,295,8,172
2760,295,8,171
2773,294,8,171
2786,293,8,171
2787,292,8,171
2788,290,8,171
2789,289,9,172
2790,288,9,172
2796,287,9,172
2798,286,10,172
2799,285,10,173
2800,283,10,173
2801,282,11,173
2802,281,11,173
2803,279,12,174
2804,278,12,174
2805,276,12,174
2807,275,12,174
2834,275,13,173
2838,275,13,172
2839,275,13,171
2841,274,14,169
2842,274,14,168
2870,275,14,168
2872,276,13,168
2873,277,13,168
2874,278,13,168
2875,279,13,168
2882,279,13,169
2884,280,13,169
2886,281,12,169
2888,283,11,169
2889,284,11,169
2890,286,10,169
2891,287,10,169
2892,289,9,169
2893,291,8,169
2894,293,8,169
2895,294,8,170
2913,294,8,169
2916,294,8,168
2920,294,8,167
2926,294,8,166
2927,294,8,165
2961,293,8,165
2962,292,8,165
2963,291,9,165
2964,290,9,165
2966,289,9,165
2967,288,10,165
2968,287,10,165
2969,286,11,165
2970,284,11,165
2971,283,12,165
2972,282,12,165
2973,281,13,165
2974,280,13,165
2975,279,14,165
2976,277,14,165
2977,276,14,164
2988,275,14,164
3003,275,15,163
3007,275,15,162
3009,275,15,161
3025,275,15,160
3052,276,15,160
3065,277,15,160
3067,278,15,160
3069,280,14,160
3070,281,14,160
3071,282,13,160
3072,283,13,159
3073,284,12,159
3076,285,12,159
3078,286,11,159
3079,287,11,160
3080,288,10,160
3081,289,10,160
3082,290,10,160
3084,291,9,159
3085,292,9,159
3086,294,8,159
3087,295,8,159
3125,295,8,158
3136,295,8,157
3138,295,8,156
3139,295,8,154
3140,294,8,153
3169,293,9,153
3170,292,9,154
3174,291,9,154
3185,290,10,154
3205,290,10,153
3208,290,10,152
3209,290,10,151
3216,290,10,150
3234,291,10,150
3235,292,9,150
3236,293,9,150
3246,294,9,150
3247,294,9,149
3256,294,9,148
3257,295,9,147
3258,295,9,146
3259,295,9,145
3260,294,9,143
3276,293,9,143
3277,293,9,144
3278,292,9,144
3281,291,10,144
3282,290,10,144
3303,290,10,143
3304,290,10,142
3305,290,10,141
3306,290,10,140
3307,289,11,138
3308,289,11,136
3309,289,11,135
3329,290,10,136
3331,291,10,137
3335,292,9,138
3336,293,9,138
3337,294,9,139
3361,294,9,138
3375,294,9,137
3376,294,9,136
3377,294,9,135
3409,293,9,135
3410,292,9,135
3411,291,10,135
3412,290,10,135
3432,289,10,134
3442,289,10,133
3443,289,10,132
3448,289,10,131
3450,289,10,130
3452,290,10,129
3475,291,9,129
3476,292,9,129
3477,293,9,129
3478,294,8,129
3479,295,8,129
3519,295,8,128
3521,295,8,127
3522,295,8,126
3523,295,8,125
3524,294,8,124
3525,294,8,123
3537,293,8,123
3538,292,8,124
3539,291,9,124
3540,290,9,124
3541,289,9,125
3555,289,9,124
3558,289,9,123
3559,289,9,122
3560,289,9,121
3561,290,9,121
3562,290,9,120
3583,291,8,120
3584,292,8,120
3585,293,8,120
3587,295,8,119
3608,295,7,118
3609,295,7,117
3610,295,7,116
3613,295,7,115
3614,294,7,114
3615,294,7,113
3644,293,7,114
3646,292,7,114
3648,290,8,114
3649,289,8,115
3670,289,8,114
3675,289,8,113
3679,289,7,112
3683,289,7,111
3691,289,7,110
3702,290,7,110
3704,291,7,110
3705,292,7,110
3706,293,7,110
3708,294,7,110
3727,294,7,109
3732,294,6,108
3733,294,6,107
3734,294,6,106
3735,294,6,105
3761,293,6,105
3762,292,6,105
3763,291,6,105
3764,290,7,105
3765,288,7,104
3793,288,7,103
3796,288,7,102
3799,289,7,102
3800,289,7,101
3803,289,7,100
3818,290,7,100
3826,291,7,100
3831,292,6,100
3832,293,6,100
3834,294,6,100
3860,294,6,99
3867,294,6,98
3871,294,6,97
3873,294,6,96
3880,294,7,95
3903,293,7,95
3908,292,7,95
3912,291,7,95
3914,290,7,95
3930,290,8,94
3937,290,8,93
3940,290,8,92
3947,290,8,91
3948,290,8,90
3977,291,8,90
3985,292,8,90
3989,293,8,90
3991,294,8,90
3992,295,7,89
4006,295,7,88
4010,295,8,87
4012,295,8,86
4018,295,8,85
4037,294,8,85
4042,293,8,85
4045,292,8,85
4046,291,9,85
4048,289,9,84
4070,289,9,83
4071,289,9,82
4075,289,9,81
4076,289,9,80
4091,290,9,80
4096,291,9,80
4097,292,9,80
4098,293,9,80
4099,294,8,80
4100,295,8,79
4127,295,8,78
4131,295,8,77
4135,295,8,76
4137,295,8,75
4138,294,8,74
4164,293,9,74
4165,292,9,74
4166,291,9,74
4167,290,9,75
4168,289,9,75
4189,289,9,74
4194,289,9,73
4196,289,9,72
4197,289,9,71
4198,289,9,70
4212,290,9,70
4217,291,9,70
4218,292,9,70
4219,293,9,70
4220,294,8,70
4231,294,8,69
4238,294,8,68
4239,294,8,67
4240,294,8,66
4248,294,8,65
4265,293,8,65
4266,292,8,65
4267,291,9,65
4268,290,9,64
4269,289,9,64
4295,289,9,63
4297,289,9,62
4302,289,9,61
4310,289,9,60
4317,290,9,60
4345,291,8,60
4347,292,8,60
4348,293,8,60
4349,294,8,60
4350,295,8,59
4374,295,8,58
4375,295,8,57
4376,295,8,56
4377,295,8,55
4378,295,8,54
4398,294,8,54
4400,293,8,54
4402,292,8,54
4403,291,8,54
4404,289,8,55
4405,288,9,55
4432,288,9,54
4437,288,8,53
4438,289,9,53
4441,289,9,52
4442,289,8,51
4444,289,9,50
4462,290,9,50
4464,291,8,50
4465,292,8,50
4466,293,8,50
4467,294,8,50
4468,296,8,49
4499,296,8,48
4502,295,8,48
4503,295,8,47
4504,295,8,46
4505,295,8,45
4513,294,9,45
4518,293,9,45
4519,292,9,45
4520,291,9,45
4521,290,9,44
4522,289,9,44
4540,289,9,43
4544,289,9,42
4546,289,9,41
4552,289,9,40
4554,290,9,39
4572,291,9,39
4573,292,9,39
4574,293,9,39
4576,294,9,39
4601,294,8,38
4603,294,8,37
4604,294,8,36
4605,294,8,35
4624,293,8,35
4625,292,8,35
4627,290,9,35
4628,289,9,34
4640,289,8,33
4641,289,8,32
4642,289,8,31
4643,289,8,30
4644,290,8,28
4661,291,8,28
4663,292,8,29
4665,293,8,29
4667,294,8,29
4668,295,8,30
4684,295,8,29
4689,295,8,28
4690,295,8,27
4691,295,8,26
4692,295,7,25
4715,294,7,25
4720,293,7,25
4721,292,7,25
4722,291,8,25
4723,290,8,25
4724,289,8,25
4725,288,8,25
4735,288,8,24
4737,289,8,24
4738,289,8,23
4739,289,8,22
4740,289,7,21
4741,289,7,20
4742,290,7,19
4755,291,7,19
4756,292,7,19
4758,293,7,19
4761,294,7,19
4781,294,7,18
4782,294,7,17
4783,294,7,16
4784,294,7,15
4785,295,7,14
4810,294,7,14
4812,293,7,14
4813,292,7,14
4814,291,7,14
4815,290,7,14
4836,290,7,13
4838,290,7,12
4839,290,7,11
4840,290,7,10
4841,289,7,8
4842,289,7,7
4843,289,7,6
4860,290,7,6
4863,290,7,7
4864,291,7,7
4865,292,7,8
4866,293,7,8
4867,294,7,9
4868,295,7,10
