height,weight,label
182,82,normal
176,53,thin
151,77,faty
200,44,thin
183,70,normal
169,63,normal
169,87,faty
167,100,faty
197,85,normal
183,45,thin
199,40,thin
168,81,faty
194,71,normal
172,45,thin
191,50,thin
152,49,normal
159,43,thin
188,54,thin
158,99,faty
184,56,thin
161,80,faty
164,86,faty
151,53,normal
168,93,faty
186,93,faty
194,76,normal
198,56,thin
166,36,thin
168,90,faty
198,90,normal
163,56,normal
151,80,faty
172,72,normal
156,97,faty
173,88,faty
172,76,faty
152,73,faty
184,36,thin
169,75,faty
158,42,thin
170,65,normal
184,61,thin
157,46,normal
154,57,normal
197,90,normal
193,78,normal
167,40,thin
177,63,normal
173,75,normal
171,41,thin
190,75,normal
192,96,faty
163,63,normal
189,43,thin
156,96,faty
181,55,thin
182,60,thin
193,94,normal
184,84,normal
195,78,normal
162,52,normal
187,56,thin
183,95,faty
195,92,normal
159,49,normal
162,87,faty
163,57,normal
166,44,thin
170,95,faty
193,92,normal
183,46,thin
177,85,faty
162,56,normal
186,57,thin
191,53,thin
155,56,normal
196,76,normal
190,56,thin
152,64,faty
180,97,faty
197,52,thin
160,46,thin
179,64,normal
159,98,faty
200,53,thin
167,66,normal
183,68,normal
166,45,thin
175,55,thin
185,69,normal
184,38,thin
177,40,thin
178,51,thin
162,90,faty
199,58,thin
193,42,thin
193,37,thin
150,50,normal
196,53,thin
175,73,normal
185,61,thin
155,91,faty
191,46,thin
182,57,thin
200,72,thin
154,55,normal
175,38,thin
171,36,thin
159,48,normal
155,36,thin
167,82,faty
166,73,faty
196,80,normal
157,56,normal
178,47,thin
194,90,normal
200,87,normal
173,70,normal
173,48,thin
156,76,faty
167,64,normal
194,76,normal
166,96,faty
180,78,normal
150,50,normal
155,86,faty
150,55,normal
164,91,faty
181,85,faty
194,84,normal
194,43,thin
155,55,normal
188,92,faty
160,92,faty
169,73,faty
196,65,thin
153,35,thin
162,75,faty
181,85,faty
185,75,normal
198,57,thin
158,43,thin
176,51,thin
155,77,faty
174,35,thin
170,94,faty
167,80,faty
154,74,faty
171,78,faty
151,48,normal
171,89,faty
165,69,normal
162,42,thin
176,52,thin
163,36,thin
197,64,thin
168,48,thin
153,53,normal
151,82,faty
184,46,thin
173,61,normal
161,90,faty
189,50,thin
155,45,normal
198,80,normal
180,58,thin
158,57,normal
196,98,faty
171,89,faty
156,58,normal
197,54,thin
169,91,faty
198,49,thin
153,38,thin
180,42,thin
153,100,faty
196,65,thin
199,75,normal
195,36,thin
169,56,normal
184,88,faty
190,88,normal
154,77,faty
157,40,thin
181,47,thin
153,95,faty
191,89,normal
199,74,normal
191,96,faty
181,89,faty
187,66,normal
185,95,faty
175,51,thin
190,60,thin
187,35,thin
179,77,normal
160,64,normal
180,70,normal
183,44,thin
163,53,normal
161,37,thin
160,98,faty
185,89,faty
164,87,faty
192,90,normal
160,57,normal
193,79,normal
185,98,faty
170,57,normal
178,57,thin
151,48,normal
165,67,normal
195,87,normal
186,71,normal
178,78,normal
190,93,faty
177,43,thin
194,35,thin
157,50,normal
184,99,faty
184,39,thin
159,60,normal
184,42,thin
151,50,normal
177,84,faty
178,38,thin
189,92,faty
174,40,thin
161,79,faty
153,60,faty
175,48,thin
167,70,normal
174,59,normal
193,85,normal
163,75,faty
165,48,thin
160,61,normal
196,97,normal
188,93,faty
199,59,thin
198,55,thin
190,49,thin
184,42,thin
155,53,normal
177,83,faty
173,50,thin
182,84,normal
188,98,faty
189,90,normal
153,63,faty
159,69,faty
180,92,faty
157,77,faty
168,35,thin
163,65,normal
194,99,faty
176,51,thin
155,39,thin
175,38,thin
182,70,normal
169,64,normal
159,40,thin
150,92,faty
198,96,normal
152,79,faty
156,36,thin
161,70,faty
187,97,faty
161,52,normal
181,82,normal
186,39,thin
156,93,faty
173,75,normal
199,85,normal
164,88,faty
198,75,normal
157,63,faty
168,95,faty
158,85,faty
169,53,normal
154,64,faty
154,59,normal
197,53,thin
199,88,normal
157,74,faty
157,47,normal
167,90,faty
180,53,thin
191,66,thin
170,88,faty
162,90,faty
161,58,normal
184,66,normal
166,74,faty
168,93,faty
166,98,faty
158,69,faty
159,60,normal
183,64,normal
162,76,faty
150,36,thin
186,99,faty
190,50,thin
179,93,faty
200,57,thin
173,95,faty
197,50,thin
169,52,thin
182,89,faty
196,86,normal
176,97,faty
186,82,normal
170,81,faty
179,74,normal
191,79,normal
189,36,thin
179,57,thin
186,70,normal
178,38,thin
172,100,faty
196,51,thin
176,81,faty
160,53,normal
193,75,normal
200,46,thin
182,90,faty
164,52,normal
169,70,normal
182,87,faty
150,46,normal
164,89,faty
193,98,faty
166,48,thin
163,83,faty
180,70,normal
178,80,normal
189,63,thin
183,48,thin
187,76,normal
185,45,thin
160,92,faty
157,90,faty
180,39,thin
182,52,thin
180,98,faty
177,84,faty
164,65,normal
164,94,faty
169,87,faty
196,68,thin
186,100,faty
157,86,faty
174,78,faty
190,39,thin
195,61,thin
155,36,thin
166,46,thin
160,100,faty
193,64,thin
182,48,thin
152,96,faty
189,64,thin
185,70,normal
193,37,thin
167,35,thin
177,81,faty
186,59,thin
182,36,thin
171,100,faty
170,40,thin
192,38,thin
172,88,faty
179,98,faty
151,93,faty
177,67,normal
174,54,thin
151,91,faty
184,82,normal
175,99,faty
176,51,thin
173,78,faty
189,100,faty
187,51,thin
185,36,thin
173,62,normal
153,68,faty
183,73,normal
164,48,thin
188,70,normal
160,36,thin
170,41,thin
199,43,thin
158,67,faty
174,37,thin
154,87,faty
173,67,normal
156,100,faty
164,67,normal
196,94,normal
191,100,faty
154,99,faty
189,89,normal
173,56,normal
170,84,faty
153,98,faty
199,39,thin
184,90,faty
184,72,normal
189,49,thin
150,80,faty
186,47,thin
192,80,normal
169,68,normal
197,41,thin
168,64,normal
185,78,normal
185,73,normal
176,46,thin
175,70,normal
191,79,normal
156,67,faty
155,98,faty
156,45,thin
150,78,faty
179,39,thin
154,99,faty
178,35,thin
185,75,normal
191,59,thin
171,43,thin
198,51,thin
180,55,thin
178,78,normal
180,83,faty
197,77,normal
161,90,faty
151,56,normal
188,49,thin
164,44,thin
173,83,faty
194,41,thin
155,74,faty
179,91,faty
164,49,thin
166,93,faty
173,68,normal
175,41,thin
161,72,faty
156,60,normal
185,67,normal
182,74,normal
193,53,thin
188,59,thin
192,80,normal
164,66,normal
173,41,thin
176,48,thin
152,49,normal
159,98,faty
182,96,faty
166,76,faty
181,99,faty
200,67,thin
164,68,normal
165,48,thin
200,44,thin
192,62,thin
183,58,thin
184,76,normal
172,78,faty
177,35,thin
174,51,thin
187,39,thin
181,81,normal
162,92,faty
167,85,faty
158,52,normal
186,96,faty
199,93,normal
161,57,normal
194,75,normal
169,48,thin
157,48,normal
184,72,normal
189,96,faty
185,49,thin
172,48,thin
182,37,thin
161,77,faty
195,79,normal
168,71,normal
186,61,thin
162,55,normal
177,74,normal
157,53,normal
197,88,normal
200,58,thin
182,57,thin
182,84,normal
179,85,faty
158,96,faty
159,36,thin
170,38,thin
185,52,thin
153,82,faty
163,73,faty
199,86,normal
197,91,normal
160,68,faty
169,100,faty
154,72,faty
192,48,thin
150,73,faty
160,47,thin
169,100,faty
199,49,thin
199,98,normal
174,74,normal
159,69,faty
154,99,faty
169,70,normal
182,58,thin
178,57,thin
150,77,faty
156,65,faty
191,59,thin
199,98,normal
158,81,faty
159,41,thin
191,96,faty
194,67,thin
188,50,thin
164,84,faty
199,55,thin
157,41,thin
184,55,thin
165,98,faty
158,41,thin
155,94,faty
162,93,faty
184,58,thin
174,49,thin
161,53,normal
172,77,faty
163,37,thin
191,43,thin
184,57,thin
172,82,faty
176,67,normal
160,54,normal
198,38,thin
164,64,normal
178,54,thin
191,70,normal
155,79,faty
189,41,thin
184,36,thin
170,99,faty
197,98,normal
154,83,faty
158,46,thin
166,68,normal
172,94,faty
157,74,faty
160,49,normal
195,72,normal
189,74,normal
197,91,normal
159,38,thin
167,48,thin
160,43,thin
197,89,normal
179,88,faty
161,39,thin
188,35,thin
163,62,normal
166,86,faty
193,71,normal
183,83,normal
166,41,thin
161,37,thin
187,40,thin
184,74,normal
191,96,faty
155,53,normal
185,51,thin
198,43,thin
182,77,normal
173,67,normal
171,70,normal
175,84,faty
157,71,faty
163,89,faty
192,72,normal
171,65,normal
173,96,faty
159,85,faty
153,57,normal
154,51,normal
199,52,thin
154,36,thin
192,39,thin
199,35,thin
176,80,faty
154,79,faty
158,61,normal
169,71,normal
159,46,thin
171,48,thin
189,73,normal
161,67,faty
162,56,normal
195,39,thin
178,84,faty
195,95,normal
163,86,faty
186,95,faty
189,71,normal
150,81,faty
159,73,faty
192,54,thin
152,66,faty
171,44,thin
152,60,faty
183,79,normal
170,97,faty
161,66,normal
167,63,normal
177,67,normal
192,73,normal
196,59,thin
167,100,faty
167,90,faty
166,78,faty
166,55,normal
195,41,thin
179,78,normal
198,59,thin
196,70,thin
175,60,normal
186,67,normal
153,88,faty
173,89,faty
166,59,normal
177,63,normal
174,100,faty
170,97,faty
152,65,faty
195,88,normal
156,100,faty
154,98,faty
155,55,normal
163,38,thin
183,74,normal
166,77,faty
185,46,thin
150,61,faty
188,65,thin
153,97,faty
156,76,faty
171,99,faty
173,69,normal
193,92,normal
190,54,thin
171,51,thin
164,86,faty
154,43,thin
188,93,faty
173,82,faty
164,56,normal
164,86,faty
184,38,thin
165,80,faty
162,87,faty
178,83,faty
197,49,thin
158,81,faty
164,54,normal
162,85,faty
187,58,thin
161,82,faty
192,65,thin
197,49,thin
197,53,thin
194,97,faty
166,95,faty
156,42,thin
173,50,thin
162,71,faty
153,60,faty
162,61,normal
167,40,thin
152,55,normal
173,82,faty
196,42,thin
194,43,thin
198,95,normal
178,68,normal
180,69,normal
185,47,thin
151,88,faty
195,55,thin
176,76,normal
177,43,thin
177,90,faty
184,93,faty
175,39,thin
168,64,normal
184,67,normal
156,48,normal
188,58,thin
151,48,normal
156,53,normal
184,65,normal
191,85,normal
173,47,thin
199,65,thin
191,68,normal
199,86,normal
155,49,normal
153,99,faty
172,65,normal
181,86,faty
150,55,normal
197,45,thin
159,90,faty
163,54,normal
181,87,faty
160,53,normal
177,44,thin
162,35,thin
163,37,thin
166,53,normal
188,46,thin
169,85,faty
162,53,normal
180,98,faty
174,96,faty
161,88,faty
187,55,thin
165,50,thin
156,64,faty
171,43,thin
169,67,normal
177,44,thin
188,48,thin
178,68,normal
182,40,thin
157,77,faty
191,53,thin
182,58,thin
175,76,normal
182,71,normal
183,97,faty
171,46,thin
197,48,thin
185,72,normal
172,37,thin
170,94,faty
157,78,faty
165,91,faty
197,63,thin
183,99,faty
198,42,thin
158,71,faty
194,61,thin
170,97,faty
154,74,faty
195,83,normal
156,56,normal
175,88,faty
156,44,thin
163,70,faty
170,71,normal
180,96,faty
171,88,faty
160,64,normal
196,66,thin
171,69,normal
193,38,thin
188,81,normal
192,89,normal
160,62,normal
156,56,normal
156,61,normal
166,100,faty
166,64,normal
150,53,normal
168,92,faty
182,46,thin
179,84,faty
190,62,thin
182,40,thin
198,71,thin
152,64,faty
156,83,faty
161,97,faty
192,36,thin
179,71,normal
189,74,normal
190,89,normal
187,90,faty
172,37,thin
186,36,thin
182,37,thin
158,39,thin
168,56,normal
175,63,normal
156,41,thin
194,42,thin
192,97,faty
180,67,normal
192,48,thin
190,95,faty
156,49,normal
192,52,thin
163,96,faty
166,81,faty
173,84,faty
172,64,normal
196,97,normal
181,53,thin
176,70,normal
158,83,faty
167,43,thin
160,40,thin
185,46,thin
195,35,thin
181,45,thin
162,57,normal
181,96,faty
150,72,faty
162,77,faty
155,38,thin
169,35,thin
159,70,faty
194,45,thin
199,62,thin
150,47,normal
190,70,normal
155,43,thin
169,78,faty
156,38,thin
200,77,normal
162,56,normal
153,51,normal
154,60,normal
165,38,thin
196,56,thin
170,81,faty
152,61,faty
167,72,faty
164,59,normal
177,41,thin
166,95,faty
187,85,normal
158,59,normal
182,100,faty
178,82,faty
186,97,faty
154,46,normal
162,50,normal
157,46,normal
161,69,faty
186,56,thin
190,40,thin
167,67,normal
188,43,thin
177,68,normal
161,84,faty
184,61,thin
188,54,thin
196,68,thin
198,44,thin
169,67,normal
163,56,normal
154,75,faty
178,65,normal
153,49,normal
176,86,faty
158,97,faty
200,85,normal
192,46,thin
151,76,faty
196,77,normal
195,88,normal
152,77,faty
196,67,thin
176,48,thin
174,100,faty
167,66,normal
192,49,thin
166,35,thin
165,74,faty
175,52,thin
164,83,faty
174,57,normal
171,66,normal
195,99,faty
168,99,faty
184,88,faty
171,43,thin
171,85,faty
168,72,faty
159,47,normal
184,100,faty
182,64,normal
157,43,thin
196,80,normal
163,36,thin
158,67,faty
167,92,faty
151,91,faty
172,52,thin
196,43,thin
162,73,faty
171,99,faty
167,62,normal
176,82,faty
188,60,thin
190,58,thin
157,46,normal
175,85,faty
154,71,faty
194,94,normal
170,41,thin
196,98,faty
195,76,normal
187,87,normal
170,57,normal
173,46,thin
156,80,faty
169,99,faty
162,53,normal
196,42,thin
173,80,faty
173,37,thin
167,86,faty
185,71,normal
168,72,faty
173,49,thin
190,72,normal
195,93,normal
154,71,faty
182,55,thin
187,100,faty
157,41,thin
168,78,faty
180,88,faty
165,53,normal
168,75,faty
195,57,thin
191,64,thin
188,77,normal
194,56,thin
166,67,normal
183,65,normal
163,71,faty
192,95,faty
178,64,normal
156,66,faty
199,39,thin
166,44,thin
193,69,normal
194,78,normal
176,72,normal
155,51,normal
161,79,faty
151,70,faty
161,60,normal
160,81,faty
163,86,faty
174,35,thin
157,87,faty
186,43,thin
162,80,faty
172,80,faty
183,78,normal
188,74,normal
160,40,thin
168,70,normal
164,94,faty
151,36,thin
198,88,normal
168,59,normal
199,58,thin
173,72,normal
187,48,thin
183,49,thin
171,67,normal
191,88,normal
169,48,thin
188,91,faty
153,95,faty
156,92,faty
157,68,faty
167,59,normal
164,48,thin
183,38,thin
198,62,thin
171,46,thin
158,92,faty
152,53,normal
176,86,faty
159,79,faty
197,96,normal
152,68,faty
156,72,faty
198,67,thin
178,42,thin
196,43,thin
174,69,normal
183,52,thin
152,70,faty
189,56,thin
164,66,normal
163,62,normal
168,92,faty
174,74,normal
188,92,faty
191,61,thin
198,45,thin
181,60,thin
159,53,normal
190,42,thin
157,85,faty
199,75,normal
159,37,thin
170,38,thin
163,50,normal
181,77,normal
186,50,thin
161,52,normal
162,62,normal
198,65,thin
177,72,normal
193,94,normal
176,76,normal
179,64,normal
186,58,thin
173,90,faty
165,65,normal
195,92,normal
169,99,faty
195,46,thin
199,62,thin
155,63,faty
168,39,thin
162,73,faty
155,44,thin
166,78,faty
180,75,normal
187,37,thin
197,80,normal
200,98,normal
199,66,thin
165,77,faty
172,93,faty
186,89,faty
174,77,normal
175,55,thin
176,64,normal
168,79,faty
160,55,normal
151,76,faty
194,78,normal
189,64,thin
153,71,faty
177,49,thin
165,43,thin
160,60,normal
178,42,thin
199,54,thin
163,69,faty
177,79,normal
171,50,thin
170,60,normal
170,35,thin
165,89,faty
197,95,normal
170,35,thin
169,64,normal
171,73,normal
151,43,normal
178,45,thin
157,78,faty
157,70,faty
177,54,thin
191,83,normal
199,61,thin
168,61,normal
153,92,faty
186,35,thin
160,94,faty
162,42,thin
178,41,thin
170,53,thin
176,87,faty
195,42,thin
177,87,faty
165,93,faty
183,92,faty
169,51,thin
163,50,normal
159,62,normal
192,79,normal
183,52,thin
181,44,thin
160,86,faty
181,69,normal
153,83,faty
181,61,normal
200,77,normal
186,90,faty
188,86,normal
191,62,thin
197,69,thin
177,78,normal
200,38,thin
166,87,faty
197,69,thin
184,92,faty
186,98,faty
162,100,faty
161,93,faty
150,42,normal
151,84,faty
154,89,faty
169,56,normal
162,94,faty
188,86,normal
184,86,normal
175,58,normal
193,72,normal
167,86,faty
165,56,normal
184,42,thin
163,48,thin
160,92,faty
176,48,thin
163,85,faty
156,48,normal
165,47,thin
196,45,thin
190,98,faty
170,91,faty
151,39,thin
181,52,thin
166,94,faty
168,41,thin
178,71,normal
177,44,thin
153,81,faty
160,80,faty
168,97,faty
157,84,faty
190,90,normal
155,46,normal
154,52,normal
190,36,thin
195,57,thin
170,71,normal
170,90,faty
161,93,faty
185,64,normal
194,64,thin
155,66,faty
179,85,faty
159,43,thin
191,79,normal
193,58,thin
171,83,faty
196,100,faty
194,71,normal
171,91,faty
199,88,normal
169,43,thin
163,43,thin
183,87,faty
182,40,thin
150,76,faty
160,97,faty
160,83,faty
151,77,faty
174,68,normal
189,55,thin
193,48,thin
158,49,normal
191,78,normal
179,65,normal
161,97,faty
189,100,faty
160,45,thin
187,53,thin
170,67,normal
191,85,normal
166,35,thin
157,73,faty
193,37,thin
192,40,thin
181,87,faty
183,48,thin
180,90,faty
169,98,faty
163,70,faty
198,67,thin
189,95,faty
156,75,faty
191,87,normal
154,86,faty
196,56,thin
194,72,normal
174,86,faty
171,77,faty
150,47,normal
163,57,normal
199,75,normal
199,72,thin
198,97,normal
150,60,faty
198,37,thin
152,46,normal
174,58,normal
180,98,faty
196,82,normal
189,93,faty
181,50,thin
155,86,faty
154,70,faty
185,77,normal
180,49,thin
186,83,normal
188,80,normal
171,36,thin
151,43,normal
157,93,faty
158,69,faty
180,97,faty
194,96,faty
188,73,normal
169,75,faty
181,80,normal
164,43,thin
178,63,normal
174,88,faty
197,67,thin
176,70,normal
170,81,faty
189,66,thin
171,82,faty
170,49,thin
176,94,faty
182,42,thin
190,67,normal
171,80,faty
154,94,faty
153,49,normal
190,81,normal
188,39,thin
189,92,faty
151,47,normal
176,54,thin
166,65,normal
200,85,normal
199,65,thin
191,49,thin
152,92,faty
156,56,normal
193,57,thin
170,74,faty
150,56,normal
171,93,faty
199,91,normal
177,36,thin
198,74,normal
189,73,normal
194,90,normal
150,60,faty
151,94,faty
167,43,thin
175,81,faty
152,72,faty
163,98,faty
197,36,thin
194,45,thin
198,62,thin
180,75,normal
152,92,faty
150,71,faty
176,71,normal
196,48,thin
185,48,thin
166,51,normal
166,55,normal
162,69,faty
194,95,normal
176,38,thin
155,41,thin
193,38,thin
155,44,thin
172,36,thin
177,65,normal
177,47,thin
191,74,normal
185,55,thin
150,53,normal
169,48,thin
151,97,faty
175,38,thin
161,90,faty
195,66,thin
162,83,faty
151,40,thin
163,92,faty
181,78,normal
172,42,thin
190,41,thin
178,49,thin
199,40,thin
182,36,thin
162,89,faty
174,86,faty
175,83,faty
199,74,normal
190,60,thin
165,35,thin
152,45,normal
165,45,thin
196,100,faty
165,63,normal
166,82,faty
177,97,faty
165,55,normal
150,52,normal
195,37,thin
200,70,thin
189,67,normal
157,50,normal
150,100,faty
178,73,normal
184,72,normal
173,81,faty
153,74,faty
189,41,thin
167,96,faty
163,82,faty
183,63,normal
185,88,faty
193,88,normal
151,36,thin
199,97,normal
189,40,thin
162,47,thin
184,43,thin
165,65,normal
189,72,normal
169,93,faty
156,71,faty
155,48,normal
150,38,thin
153,74,faty
162,73,faty
155,45,normal
191,82,normal
175,83,faty
160,83,faty
169,68,normal
181,42,thin
200,43,thin
188,96,faty
155,90,faty
171,99,faty
175,92,faty
172,35,thin
171,68,normal
174,39,thin
153,78,faty
190,61,thin
177,54,thin
166,60,normal
172,78,faty
189,61,thin
168,74,faty
182,35,thin
177,77,normal
175,93,faty
181,46,thin
162,79,faty
187,64,thin
176,53,thin
159,100,faty
191,62,thin
183,68,normal
190,95,faty
187,53,thin
155,60,normal
176,98,faty
173,60,normal
192,81,normal
179,83,faty
174,95,faty
155,71,faty
150,38,thin
184,72,normal
165,41,thin
159,57,normal
178,58,thin
157,77,faty
181,69,normal
173,43,thin
160,54,normal
163,100,faty
197,68,thin
187,81,normal
161,90,faty
151,63,faty
159,60,normal
185,95,faty
194,51,thin
192,68,thin
173,54,thin
150,60,faty
165,61,normal
171,50,thin
161,86,faty
167,78,faty
176,99,faty
161,41,thin
183,49,thin
198,77,normal
198,38,thin
156,74,faty
178,58,thin
195,76,normal
194,48,thin
194,76,normal
167,42,thin
187,89,normal
172,46,thin
166,74,faty
195,73,normal
171,96,faty
157,69,faty
159,61,normal
195,96,normal
169,56,normal
193,42,thin
164,85,faty
177,48,thin
162,62,normal
166,48,thin
153,56,normal
153,60,faty
187,93,faty
159,52,normal
168,98,faty
185,66,normal
165,72,faty
197,68,thin
200,99,normal
196,72,normal
194,87,normal
165,90,faty
158,83,faty
193,69,normal
172,98,faty
183,82,normal
182,65,normal
178,62,normal
157,66,faty
155,67,faty
199,52,thin
164,62,normal
186,56,thin
173,72,normal
193,65,thin
182,57,thin
188,94,faty
199,90,normal
158,79,faty
192,51,thin
200,64,thin
169,71,normal
156,94,faty
198,83,normal
161,89,faty
150,94,faty
179,97,faty
174,54,thin
173,68,normal
186,65,normal
155,58,normal
172,69,normal
197,40,thin
153,95,faty
157,76,faty
167,53,normal
159,38,thin
187,37,thin
162,80,faty
176,37,thin
161,92,faty
196,92,normal
180,37,thin
164,66,normal
161,44,thin
176,86,faty
190,43,thin
182,70,normal
162,66,normal
167,46,thin
178,97,faty
193,40,thin
193,40,thin
161,59,normal
160,67,faty
200,90,normal
172,58,normal
171,68,normal
157,76,faty
193,38,thin
196,98,faty
156,48,normal
173,38,thin
155,69,faty
165,92,faty
191,58,thin
196,55,thin
189,75,normal
151,85,faty
195,94,normal
198,76,normal
195,55,thin
169,88,faty
186,68,normal
163,62,normal
190,53,thin
192,74,normal
165,53,normal
191,78,normal
168,59,normal
168,67,normal
182,95,faty
151,52,normal
158,62,normal
158,59,normal
181,48,thin
181,82,normal
174,96,faty
189,39,thin
164,99,faty
162,51,normal
171,63,normal
200,56,thin
177,55,thin
164,65,normal
174,89,faty
171,48,thin
191,70,normal
190,44,thin
196,58,thin
151,48,normal
150,68,faty
171,84,faty
159,67,faty
167,45,thin
183,90,faty
151,82,faty
160,76,faty
169,53,normal
155,37,thin
200,81,normal
196,64,thin
175,66,normal
180,97,faty
161,78,faty
159,72,faty
190,81,normal
170,59,normal
188,72,normal
150,71,faty
174,93,faty
173,88,faty
153,47,normal
161,57,normal
197,36,thin
191,77,normal
190,67,normal
170,37,thin
151,86,faty
193,80,normal
194,82,normal
186,41,thin
190,98,faty
179,86,faty
167,98,faty
156,44,thin
165,59,normal
169,43,thin
180,82,normal
190,63,thin
193,69,normal
152,68,faty
195,90,normal
179,60,normal
180,59,thin
164,51,normal
197,100,faty
158,35,thin
163,58,normal
163,55,normal
164,67,normal
157,63,faty
153,68,faty
154,82,faty
168,55,normal
181,62,normal
180,85,faty
174,39,thin
171,70,normal
162,79,faty
186,53,thin
171,39,thin
191,38,thin
166,49,thin
156,83,faty
160,67,faty
194,50,thin
181,73,normal
186,59,thin
156,50,normal
154,99,faty
165,64,normal
194,42,thin
183,99,faty
155,61,normal
194,50,thin
167,47,thin
177,72,normal
192,55,thin
174,50,thin
186,66,normal
164,87,faty
159,94,faty
165,97,faty
166,49,thin
164,76,faty
189,58,thin
165,59,normal
155,72,faty
158,70,faty
157,37,thin
175,98,faty
199,70,thin
167,62,normal
195,85,normal
165,86,faty
190,89,normal
197,96,normal
174,39,thin
154,48,normal
164,46,thin
190,54,thin
200,59,thin
194,63,thin
160,97,faty
200,88,normal
171,63,normal
186,63,thin
185,77,normal
191,48,thin
194,77,normal
182,35,thin
200,44,thin
183,88,faty
167,45,thin
151,98,faty
174,96,faty
194,83,normal
188,97,faty
187,55,thin
195,88,normal
171,70,normal
186,94,faty
184,44,thin
174,63,normal
176,46,thin
162,86,faty
151,70,faty
172,58,normal
166,71,faty
171,85,faty
157,86,faty
